0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,year,half_year,lor,key
01,01,11,01,3269,153,127,32,502,999,348,389,719,1584,1338,2018,1,01011101,01011101-2018-1
01,01,11,02,185,4,9,3,15,51,36,40,27,71,61,2018,1,01011102,01011102-2018-1
01,01,11,03,5073,254,329,122,578,1430,682,770,908,2336,1787,2018,1,01011103,01011103-2018-1
01,01,11,04,4781,277,396,135,912,1661,629,426,345,2160,1909,2018,1,01011104,01011104-2018-1
01,01,11,05,1322,83,64,13,103,455,199,185,220,602,605,2018,1,01011105,01011105-2018-1
01,01,12,01,2387,106,149,61,279,708,326,354,404,1113,964,2018,1,01011201,01011201-2018-1
01,01,12,02,635,30,39,9,43,240,89,93,92,274,238,2018,1,01011202,01011202-2018-1
01,01,12,03,1086,57,51,24,101,343,200,131,179,512,404,2018,1,01011203,01011203-2018-1
01,01,12,04,8117,432,401,104,769,2771,1057,973,1610,3994,2627,2018,1,01011204,01011204-2018-1
01,01,13,01,6841,453,390,84,639,2991,1043,605,636,3314,2077,2018,1,01011301,01011301-2018-1
01,01,13,02,12640,699,1016,291,1060,4985,2376,1238,975,6094,3406,2018,1,01011302,01011302-2018-1
01,01,13,03,9923,445,482,91,1251,3899,1272,940,1543,4671,3387,2018,1,01011303,01011303-2018-1
01,01,13,04,8765,469,530,173,829,2260,902,980,2622,4661,2233,2018,1,01011304,01011304-2018-1
01,01,13,05,8007,389,376,110,688,2611,1032,866,1935,3945,2005,2018,1,01011305,01011305-2018-1
01,01,13,06,10416,614,498,115,1416,3712,1382,1145,1534,5111,3044,2018,1,01011306,01011306-2018-1
01,01,14,01,17588,1244,1343,280,1720,7855,2788,1346,1012,8560,5395,2018,1,01011401,01011401-2018-1
01,01,14,02,13593,1040,1084,196,1001,6330,2315,831,796,6722,3625,2018,1,01011402,01011402-2018-1
01,02,21,01,3566,182,214,64,646,1333,465,377,285,1597,1336,2018,1,01022101,01022101-2018-1
01,02,21,02,6658,360,411,140,1237,2445,819,651,595,3049,2816,2018,1,01022102,01022102-2018-1
01,02,21,03,266,23,39,12,27,78,38,27,22,112,146,2018,1,01022103,01022103-2018-1
01,02,21,04,18736,989,1120,343,2798,6840,2392,2094,2160,8781,6039,2018,1,01022104,01022104-2018-1
01,02,21,05,5318,304,393,111,836,1934,632,569,539,2472,1995,2018,1,01022105,01022105-2018-1
01,02,21,06,11512,580,713,212,1298,3461,1664,1650,1934,5836,2335,2018,1,01022106,01022106-2018-1
