0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,year,half_year,lor,key
02,20,02,10,12221,662,842,248,1156,4555,1653,1702,1403,5963,3418,2022,2,02200210,02200210-2022-2
02,20,02,11,14783,770,897,322,1615,4888,2109,2345,1837,7403,3844,2022,2,02200211,02200211-2022-2
02,20,02,12,8510,525,744,216,843,2937,1205,1115,925,4241,2306,2022,2,02200212,02200212-2022-2
02,20,02,13,10173,524,687,195,964,3922,1390,1307,1184,5141,3036,2022,2,02200213,02200213-2022-2
02,30,03,14,7376,337,509,178,745,2430,1160,1074,943,3477,2676,2022,2,02300314,02300314-2022-2
02,30,03,15,8484,442,625,238,948,2851,1271,1200,909,4100,2931,2022,2,02300315,02300315-2022-2
02,30,03,16,4220,182,322,98,386,1465,628,576,563,2050,1286,2022,2,02300316,02300316-2022-2
02,30,04,17,8171,383,627,195,783,3099,1276,935,873,3907,2760,2022,2,02300417,02300417-2022-2
02,30,04,18,7755,387,520,150,734,2947,1217,983,817,3764,2420,2022,2,02300418,02300418-2022-2
02,30,04,19,10610,534,663,204,1085,4273,1553,1305,993,5073,3562,2022,2,02300419,02300419-2022-2
02,40,05,20,5856,327,414,142,453,1550,599,738,1633,3041,1404,2022,2,02400520,02400520-2022-2
02,40,05,21,8278,520,593,144,749,3287,899,836,1250,4216,2100,2022,2,02400521,02400521-2022-2
02,40,05,22,11375,736,808,189,995,4850,1480,989,1328,5693,2390,2022,2,02400522,02400522-2022-2
02,40,06,23,13602,891,914,258,1572,4863,1324,1271,2509,6846,4532,2022,2,02400623,02400623-2022-2
02,40,06,24,11907,592,697,211,1587,4835,1567,1172,1246,5637,3455,2022,2,02400624,02400624-2022-2
02,40,06,25,1114,40,40,32,125,738,54,60,25,506,643,2022,2,02400625,02400625-2022-2
02,50,07,26,9345,537,633,115,927,4736,1148,712,537,4421,2618,2022,2,02500726,02500726-2022-2
02,50,07,27,6642,398,466,120,580,3158,860,549,511,3224,1819,2022,2,02500727,02500727-2022-2
02,50,07,28,10138,641,733,207,861,5020,1525,760,391,4991,2584,2022,2,02500728,02500728-2022-2
02,50,07,29,5520,370,448,108,466,2645,728,430,325,2685,1345,2022,2,02500729,02500729-2022-2
02,50,08,30,4047,217,261,54,413,2007,547,294,254,1960,1252,2022,2,02500830,02500830-2022-2
02,50,08,31,7970,462,560,119,743,3971,1045,646,424,3823,2386,2022,2,02500831,02500831-2022-2
02,50,08,32,9569,695,642,174,976,5072,1106,572,332,4513,3158,2022,2,02500832,02500832-2022-2
02,50,08,33,10280,583,526,124,1003,5610,1350,704,380,4915,3130,2022,2,02500833,02500833-2022-2
02,50,08,34,11466,730,867,197,1123,5563,1674,816,496,5449,2942,2022,2,02500834,02500834-2022-2
02,50,08,35,8211,492,503,111,879,4208,892,582,544,3809,2627,2022,2,02500835,02500835-2022-2
02,50,08,36,4992,490,511,118,263,1783,758,511,558,2498,653,2022,2,02500836,02500836-2022-2
03,10,01,01,4697,363,462,89,367,1409,627,628,752,2225,588,2022,2,03100101,03100101-2022-2
03,10,01,02,3335,221,262,72,294,933,346,401,806,1678,837,2022,2,03100102,03100102-2022-2
03,10,01,03,9671,672,984,272,992,2378,962,1079,2332,5019,2080,2022,2,03100103,03100103-2022-2
03,20,02,04,2403,116,230,60,245,455,323,407,567,1086,421,2022,2,03200204,03200204-2022-2
03,20,02,05,8800,469,837,250,879,1953,1349,1392,1671,4623,983,2022,2,03200205,03200205-2022-2
03,20,02,06,6735,433,718,208,699,1675,1032,883,1087,3500,1126,2022,2,03200206,03200206-2022-2
03,20,02,07,11448,672,1219,357,833,2852,1780,1721,2014,5868,1335,2022,2,03200207,03200207-2022-2
03,20,03,08,5283,296,555,161,391,1163,790,975,952,2681,421,2022,2,03200308,03200308-2022-2
