key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
03030716-2018-1,2018,1,03030716,1138,33,81,24,42,179,215,204,360
03040508-2018-1,2018,1,03040508,4615,292,479,180,372,969,895,683,745
03040512-2018-1,2018,1,03040512,9951,508,819,286,722,2272,1752,1326,2266
03040513-2018-1,2018,1,03040513,3375,161,401,129,264,682,642,431,665
03040614-2018-1,2018,1,03040614,36065,2682,3545,877,2456,10784,5696,3603,6422
03040818-2018-1,2018,1,03040818,34701,2322,2626,664,2555,11629,5214,3755,5936
03050919-2018-1,2018,1,03050919,5559,384,388,116,487,1594,841,653,1096
03050920-2018-1,2018,1,03050920,7402,523,651,138,512,2229,1146,793,1410
03050923-2018-1,2018,1,03050923,9475,731,710,162,806,3954,1309,863,940
03050924-2018-1,2018,1,03050924,6128,476,546,120,604,2404,907,584,487
03050925-2018-1,2018,1,03050925,9714,770,1026,255,733,3241,1626,903,1160
03051017-2018-1,2018,1,03051017,4256,265,280,77,463,1339,702,551,579
03051021-2018-1,2018,1,03051021,6485,312,418,110,446,1732,825,722,1920
03051022-2018-1,2018,1,03051022,4595,285,375,78,291,1102,652,601,1211
03061126-2018-1,2018,1,03061126,15365,1002,1044,235,1611,6962,2360,1003,1148
03061131-2018-1,2018,1,03061131,10743,809,837,126,1066,4921,1839,644,501
03061227-2018-1,2018,1,03061227,14600,871,920,204,1314,6467,2250,1052,1522
03061228-2018-1,2018,1,03061228,12711,657,597,192,1215,5216,1669,1191,1974
03061332-2018-1,2018,1,03061332,22788,1707,2037,476,1781,9855,4531,1478,923
03061429-2018-1,2018,1,03061429,10041,411,516,129,704,2055,1151,1076,3999
03061430-2018-1,2018,1,03061430,4021,286,395,98,495,1004,497,370,876
03061434-2018-1,2018,1,03061434,6394,446,400,92,561,2928,912,515,540
03061435-2018-1,2018,1,03061435,3899,222,244,86,392,1571,512,371,501
03061441-2018-1,2018,1,03061441,2578,314,448,54,112,924,399,130,197
03071536-2018-1,2018,1,03071536,11024,765,1020,237,956,4596,2243,720,487
03071537-2018-1,2018,1,03071537,15844,1265,1365,315,1254,6372,3002,1314,957
03071633-2018-1,2018,1,03071633,3201,208,217,67,260,1018,376,432,623
03071638-2018-1,2018,1,03071638,17686,1368,1583,352,1478,7375,3099,1245,1186
03071639-2018-1,2018,1,03071639,12586,887,1382,260,932,4631,2518,1064,912
04010101-2018-1,2018,1,04010101,10765,579,754,234,1074,2810,1464,1429,2421
04010102-2018-1,2018,1,04010102,839,67,64,22,97,166,114,112,197
04010103-2018-1,2018,1,04010103,7882,526,690,232,724,1899,1116,910,1785
04020204-2018-1,2018,1,04020204,187,10,31,12,15,30,34,22,33
04020205-2018-1,2018,1,04020205,1323,48,109,40,137,231,203,207,348
04020206-2018-1,2018,1,04020206,2797,102,93,28,141,461,291,356,1325
04020207-2018-1,2018,1,04020207,2551,119,174,46,229,514,464,323,682
04020208-2018-1,2018,1,04020208,2898,108,321,111,233,403,543,369,810
04020209-2018-1,2018,1,04020209,3207,129,266,90,672,674,368,360,648
04020310-2018-1,2018,1,04020310,620,26,3,4,207,184,45,61,90
04020311-2018-1,2018,1,04020311,15035,615,942,344,1441,3197,2166,1841,4489
04020312-2018-1,2018,1,04020312,5487,245,391,107,485,1157,725,754,1623
04020313-2018-1,2018,1,04020313,7460,361,404,123,914,2042,1029,967,1620
04020314-2018-1,2018,1,04020314,9,0,0,0,0,3,0,3,3
04030415-2018-1,2018,1,04030415,2965,103,129,37,396,824,355,356,765
04030416-2018-1,2018,1,04030416,10587,659,810,290,1203,2950,1592,1462,1621
04030417-2018-1,2018,1,04030417,10899,582,722,209,1083,3067,1621,1439,2176
04030518-2018-1,2018,1,04030518,9486,432,489,153,1099,2956,1419,1323,1615
04030519-2018-1,2018,1,04030519,5851,324,354,93,666,1964,841,747,862
04030620-2018-1,2018,1,04030620,8805,413,465,165,901,2484,1245,1179,1953
04030621-2018-1,2018,1,04030621,3006,142,162,57,429,1023,465,327,401
04030622-2018-1,2018,1,04030622,10731,577,591,185,1092,3081,1507,1442,2256
04030623-2018-1,2018,1,04030623,5076,270,283,82,598,1629,711,561,942
04030724-2018-1,2018,1,04030724,6580,309,367,116,649,1617,881,908,1733
04030725-2018-1,2018,1,04030725,12345,593,834,273,1373,3462,1937,1717,2156
04030726-2018-1,2018,1,04030726,5687,307,320,132,517,1472,834,801,1304
04030827-2018-1,2018,1,04030827,12091,574,705,229,1411,3597,1804,1628,2143
04030828-2018-1,2018,1,04030828,9622,405,484,156,970,2668,1519,1413,2007
04030929-2018-1,2018,1,04030929,6062,271,348,101,517,1563,962,983,1317
