key,lor,year,month,hour,weekday,ac_category,ac_type,is_car,latitude,longitude,district_LOR3,district_LOR2,district,distance_to_CC
114115-2018-3601142,03601142,2018,12,9,6,light_injured,turn_in,False,52.549070730518544,13.413461501035801,036011,0360,03,3.3696702705032866
114116-2018-2400625,02400625,2018,9,18,5,light_injured,other,False,52.504880938011844,13.448508748432358,024006,0240,02,3.3146720985454894
114118-2018-10400940,10400940,2018,7,16,5,light_injured,other,True,52.504790123835235,13.610453995218718,104009,1040,10,13.99518979163393
114119-2018-2500727,02500727,2018,7,9,5,light_injured,other,True,52.51593862685194,13.453740267748609,025007,0250,02,3.2831831494410273
114122-2018-3601451,03601451,2018,11,6,4,light_injured,other,True,52.53973604337023,13.436956492753366,036014,0360,03,3.1224641929471635
114123-2018-10300733,10300733,2018,8,13,6,light_injured,other,True,52.50934488873188,13.553421622461817,103007,1030,10,10.090277176525037
114126-2018-7200410,07200410,2018,7,14,2,light_injured,turn_in,True,52.48507585309735,13.353902501518638,072004,0720,07,5.171510249471402
114129-2018-11300722,11300722,2018,10,18,3,light_injured,other,True,52.513383546344535,13.477285599609788,113007,1130,11,4.904345760381824
114136-2018-11300722,11300722,2018,6,17,2,light_injured,other,True,52.51351529572497,13.477426775807976,113007,1130,11,4.911941854506775
114138-2018-1100205,01100205,2018,5,8,5,light_injured,turn_in,False,52.509636939079805,13.378504959484838,011002,0110,01,2.1269245848181773
114141-2018-2500728,02500728,2018,9,9,6,light_injured,other,True,52.5143713134361,13.46740703200469,025007,0250,02,4.225119810971906
114142-2018-1100207,01100207,2018,9,20,7,light_injured,other,True,52.51086976188535,13.397249287757212,011002,0110,01,1.085533173704831
114143-2018-3400620,03400620,2018,7,21,5,light_injured,other,True,52.57105112699956,13.398354075578442,034006,0340,03,5.795077467432089
114144-2018-2500728,02500728,2018,3,10,3,light_injured,other,False,52.51475935862337,13.465061829268743,025007,0250,02,4.061785703830425
114147-2018-3701657,03701657,2018,5,14,6,light_injured,other,True,52.53910743639742,13.42396898839472,037016,0370,03,2.5431994052506157
114152-2018-4300622,04300622,2018,3,9,2,light_injured,other,False,52.51212915983451,13.316326961399392,043006,0430,04,6.115136369294703
114157-2018-2200208,02200208,2018,6,17,6,light_injured,other,True,52.49754575520545,13.388964681916255,022002,0220,02,2.6595194628778085
114161-2018-3701660,03701660,2018,6,17,2,light_injured,other,False,52.535360065497166,13.432307900308626,037016,0370,03,2.5529367370375553
114162-2018-2500727,02500727,2018,7,10,6,light_injured,other,True,52.51840854164281,13.452478430897033,025007,0250,02,3.1788662062613766
114168-2018-2400521,02400521,2018,8,15,2,seriously_injured,other,False,52.51726158682969,13.43881167953976,024005,0240,02,2.2600082056468023
114170-2018-3601449,03601449,2018,4,18,1,light_injured,other,False,52.54611942550175,13.445718380738027,036014,0360,03,4.047765464462054
114175-2018-1401049,01401049,2018,9,8,3,light_injured,turn_in,True,52.554590066048505,13.365935027374945,014010,0140,01,4.77569458724165
114176-2018-6300526,06300526,2018,8,12,4,seriously_injured,other,True,52.434984535641824,13.26056445639906,063005,0630,06,13.599411131987141
114177-2018-1100310,01100310,2018,6,20,4,light_injured,other,False,52.51988376162738,13.404768032422862,011003,0110,01,0.10055789323095066
114183-2018-4300622,04300622,2018,10,13,3,light_injured,other,False,52.51256741040475,13.323222838566531,043006,0430,04,5.644595207456199
114185-2018-2200208,02200208,2018,7,11,2,light_injured,other,False,52.4974970460784,13.389262193075126,022002,0220,02,2.6558897918665894
114187-2018-11300722,11300722,2018,7,8,5,light_injured,turn_in,True,52.51350873815079,13.477493904861522,113007,1130,11,4.91655518966502
114188-2018-10300733,10300733,2018,3,7,3,light_injured,other,False,52.509180218761955,13.551789099520803,103007,1030,10,9.982148390363909
114189-2018-3601142,03601142,2018,5,8,3,seriously_injured,other,True,52.541093143547435,13.412322178409118,036011,0360,03,2.4816220313198296
