key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+,percentage_per_lor
02300316-2022-2,2022,2,02300316,4220,182,322,98,386,1465,628,576,563,0.1095873620322379
02300417-2022-2,2022,2,02300417,8171,383,627,195,783,3099,1276,935,873,0.21218917894915068
02300418-2022-2,2022,2,02300418,7755,387,520,150,734,2947,1217,983,817,0.2013862541611386
02300419-2022-2,2022,2,02300419,10610,534,663,204,1085,4273,1553,1305,993,0.2755265192327119
02400520-2022-2,2022,2,02400520,5856,327,414,142,453,1550,599,738,1633,0.15207194124663154
02400521-2022-2,2022,2,02400521,8278,520,593,144,749,3287,899,836,1250,0.21496781585375957
02400522-2022-2,2022,2,02400522,11375,736,808,189,995,4850,1480,989,1328,0.29539247467220525
02400623-2022-2,2022,2,02400623,13602,891,914,258,1572,4863,1324,1271,2509,0.3532244782849526
02400624-2022-2,2022,2,02400624,11907,592,697,211,1587,4835,1567,1172,1246,0.3092077534876438
02400625-2022-2,2022,2,02400625,1114,40,40,32,125,738,54,60,25,0.02892898609097465
02500726-2022-2,2022,2,02500726,9345,537,633,115,927,4736,1148,712,537,0.24267627919224247
02500727-2022-2,2022,2,02500727,6642,398,466,120,580,3158,860,549,511,0.1724832366393659
02500728-2022-2,2022,2,02500728,10138,641,733,207,861,5020,1525,760,391,0.2632693545693905
02500729-2022-2,2022,2,02500729,5520,370,448,108,466,2645,728,430,325,0.14334650199477564
02500830-2022-2,2022,2,02500830,4047,217,261,54,413,2007,547,294,254,0.1050947995603002
02500831-2022-2,2022,2,02500831,7970,462,560,119,743,3971,1045,646,424,0.20696949653955832
02500832-2022-2,2022,2,02500832,9569,695,642,174,976,5072,1106,572,332,0.24849323869347972
02500833-2022-2,2022,2,02500833,10280,583,526,124,1003,5610,1350,704,380,0.2669568913960677
02500834-2022-2,2022,2,02500834,11466,730,867,197,1123,5563,1674,816,496,0.2977556144695829
02500835-2022-2,2022,2,02500835,8211,492,503,111,879,4208,892,582,544,0.21322792171722874
02500836-2022-2,2022,2,02500836,4992,490,511,118,263,1783,758,511,558,0.12963509745614493
03100101-2022-2,2022,2,03100101,4697,363,462,89,367,1409,627,628,752,0.12197436954156907
03100102-2022-2,2022,2,03100102,3335,221,262,72,294,933,346,401,806,0.08660517828851029
03100103-2022-2,2022,2,03100103,9671,672,984,272,992,2378,962,1079,2332,0.25114203275207886
03200204-2022-2,2022,2,03200204,2403,116,230,60,245,455,323,407,567,0.06240247179229092
03200205-2022-2,2022,2,03200205,8800,469,837,250,879,1953,1349,1392,1671,0.22852340897717857
03200206-2022-2,2022,2,03200206,6735,433,718,208,699,1675,1032,883,1087,0.17489831357514746
03200207-2022-2,2022,2,03200207,11448,672,1219,357,833,2852,1780,1721,2014,0.29728818022394776
03200308-2022-2,2022,2,03200308,5283,296,555,161,391,1163,790,975,952,0.137191951093913
03200309-2022-2,2022,2,03200309,5386,335,571,164,366,1229,771,913,1037,0.13986671372171405
03200310-2022-2,2022,2,03200310,8056,495,821,280,614,1965,1104,1263,1514,0.2092027934909262
03300411-2022-2,2022,2,03300411,11765,931,1428,373,1023,3181,1433,1518,1878,0.30552021666096657
03300412-2022-2,2022,2,03300412,5247,274,440,127,349,958,702,1041,1356,0.13625708260264272
03300413-2022-2,2022,2,03300413,3140,169,322,116,199,569,469,609,687,0.08154130729412962
03300514-2022-2,2022,2,03300514,6964,340,748,214,404,1247,1005,1329,1677,0.1808451159223945
03300515-2022-2,2022,2,03300515,50,3,6,3,3,10,0,12,13,0.0012984284600976053
03300516-2022-2,2022,2,03300516,8446,521,758,218,773,2159,1040,1368,1609,0.2193305354796875
03300517-2022-2,2022,2,03300517,1114,39,79,29,59,160,148,230,370,0.02892898609097465
03400618-2022-2,2022,2,03400618,4809,245,504,198,413,1008,767,891,783,0.1248828492921877
03400619-2022-2,2022,2,03400619,10593,594,874,253,936,2431,1441,1693,2371,0.27508505355627866
03400620-2022-2,2022,2,03400620,3517,173,355,145,256,689,577,539,783,0.09133145788326556
03400721-2022-2,2022,2,03400721,11782,782,1399,414,962,3656,2078,1257,1234,0.3059616823373998
03400722-2022-2,2022,2,03400722,3622,207,357,132,262,764,597,514,789,0.09405815764947054
03400723-2022-2,2022,2,03400723,7146,527,773,191,604,2533,977,709,832,0.1855713955171498
03400724-2022-2,2022,2,03400724,7691,485,720,197,657,1952,1079,1040,1561,0.19972426573221366
03400725-2022-2,2022,2,03400725,7511,448,692,166,550,1738,871,1097,1949,0.1950499232758623
03400826-2022-2,2022,2,03400826,6998,448,688,159,573,2142,917,858,1213,0.18172804727526087
03400827-2022-2,2022,2,03400827,9683,535,788,227,751,3481,1454,1136,1311,0.25145365558250227
03400828-2022-2,2022,2,03400828,4903,281,315,106,412,1833,584,558,814,0.12732389479717118
03400829-2022-2,2022,2,03400829,6000,307,544,141,697,1693,759,695,1164,0.15581141521171266
03400830-2022-2,2022,2,03400830,9313,521,713,199,784,2992,1441,1244,1419,0.24184528497778
03400831-2022-2,2022,2,03400831,0,0,0,0,0,0,0,0,0,0.0
03500932-2022-2,2022,2,03500932,6349,471,516,176,596,1930,712,836,1112,0.16487444586319394
03500933-2022-2,2022,2,03500933,7667,396,662,212,603,2320,1037,969,1468,0.19910102007136685
03500934-2022-2,2022,2,03500934,10321,711,885,206,849,4176,1454,1080,960,0.2680216027333477
03500935-2022-2,2022,2,03500935,6621,466,633,212,644,2437,976,717,536,0.1719378966861249
03500936-2022-2,2022,2,03500936,10008,635,1094,330,865,3102,1540,1234,1208,0.25989344057313674
03501037-2022-2,2022,2,03501037,8527,481,588,158,760,2593,982,1075,1890,0.22143398958504565
03501038-2022-2,2022,2,03501038,7360,405,681,172,505,1826,877,1158,1736,0.19112866932636752
03601139-2022-2,2022,2,03601139,3792,238,244,71,370,1594,514,376,385,0.0984728144138024
03601140-2022-2,2022,2,03601140,6025,348,473,135,507,2661,1039,509,353,0.15646062944176145
03601141-2022-2,2022,2,03601141,6722,408,544,138,676,2827,1057,561,511,0.1745607221755221
03601142-2022-2,2022,2,03601142,10967,603,933,281,948,4592,2003,1019,588,0.2847972984378088
03601243-2022-2,2022,2,03601243,6943,376,445,109,638,2935,1100,680,660,0.1802997759691535
03601244-2022-2,2022,2,03601244,7624,384,534,141,685,2961,1232,807,880,0.19798437159568288
03601245-2022-2,2022,2,03601245,13038,693,686,231,1213,5341,1628,1432,1814,0.3385782052550516
03601346-2022-2,2022,2,03601346,6000,353,533,174,585,2243,1194,626,292,0.15581141521171266
03601347-2022-2,2022,2,03601347,9431,549,886,273,825,3432,1966,1084,416,0.24490957614361036
03601348-2022-2,2022,2,03601348,7561,438,650,164,620,3067,1436,825,361,0.1963483517359599
03601449-2022-2,2022,2,03601449,9939,402,586,180,733,2200,975,1237,3626,0.25810160929820203
03601450-2022-2,2022,2,03601450,4345,363,504,126,510,1183,437,440,782,0.1128334331824819
03601451-2022-2,2022,2,03601451,6408,346,503,111,554,2702,942,645,605,0.16640659144610911
03601452-2022-2,2022,2,03601452,4722,295,316,81,445,2047,583,472,483,0.12262358377161786
03601453-2022-2,2022,2,03601453,3061,241,504,146,187,978,580,187,238,0.0794897903271754
03701554-2022-2,2022,2,03701554,11507,655,1011,324,1147,4297,2150,1333,590,0.2988203258068629
03701555-2022-2,2022,2,03701555,7288,426,596,182,642,2699,1343,911,489,0.18925893234382699
